AccNum	ENTREZID
NM_013847	26912
NM_025574	66459
NM_054094	117147
NM_026487	67979
NM_025387	66154
NM_176828	223665
NM_023175	52633
NM_025969	67105
NM_026255	67582
NM_010886	17992
NM_024233	104444
NM_145494	107029
NM_023637	71984
NM_001139504	52838
NM_198415	76722
NM_025716	66701
NM_026512	68021
NM_133928	72170
NM_025500	56280
NM_001009949	230125
NM_133684	67247
NM_028260	66541
NM_026080	64660
NM_153794	108654
NM_011591	21855
NM_080636	70791
NM_025461	66272
NM_027772	71365
NM_010023	13177
NM_008256	15360
NM_026688	68349
NM_145443	217666
NM_146090	225791
NM_025338	66077
NM_198006	76178
NM_013543	14979
NM_025843	66916
NM_153152	224904
NM_008095	14467
NM_029017	74600
NM_026411	67851
NM_028611	73694
NM_172678	229211
NM_145829	217214
NM_027570	52815
NM_138665	192166
NM_011467	20751
NM_144897	246703
NM_016897	53600
NM_001294324	17527
NM_199301	212508
NM_001242358	70047
NM_025578	64658
NM_026732	68463
NM_021556	59054
NM_025440	66242
NM_029942	77619
NM_028230	108037
NM_173733	211389
NM_025515	66365
NM_025476	66302
NM_178758	272428
NM_053163	94066
NM_029555	76263
NM_025363	66117
NM_013495	12894
NM_001294140	14933
NM_016895	11637
NM_001134717	72650
NM_001081081	14660
NM_029431	75778
NM_181424	52856
NM_019501	56075
NM_026498	67994
NM_019966	56690
NM_025523	66377
NM_001013405	382117
NM_010344	14782
NM_181406	109093
NM_001198998	22335
NM_013898	30058
NM_018819	55951
NM_026646	68267
NM_001081048	71803
NM_172685	229731
NM_001042541	11640
NM_011868	23986
NM_026510	68017
NM_026010	67164
NM_029760	76826
NM_027324	14057
NM_178651	109108
NM_025961	67092
NM_007532	12035
NM_026933	69076
NM_007757	12892
NM_026164	67452
NM_183358	102060
NM_023040	11692
NM_031375	83485
NM_026401	67840
NM_025348	66091
NM_027275	69956
NM_025927	67036
NM_175194	73132
NM_009463	22227
NM_001163619	71807
NM_025873	66966
NM_028177	70316
NM_027945	71832
NM_025531	66390
NM_026542	68066
NM_019880	56462
NM_024179	66839
NM_130864	113868
NM_025790	66834
NM_023312	67184
NM_001310735	268782
NM_025560	66431
NM_001285920	170731
NM_001242580	27045
NM_026322	110265
NM_001136240	218865
NM_053091	84682
NM_009437	22117
NM_030717	80907
NM_026511	68020
NM_019546	56189
NM_025379	66142
NM_001038592	69367
NM_028270	72535
NM_025597	66495
NM_025855	52665
NM_023737	74147
NM_028063	72026
NM_175137	68915
NM_001029990	52535
NM_013930	30956
NM_011834	23923
NM_027244	69875
NM_181328	214663
NM_172577	217593
NM_001101484	245347
NM_008638	17768
NM_029956	77697
NM_008292	15488
NM_001308506	18115
NM_001168507	216821
NM_183263	67390
NM_008287	15473
NM_009943	12862
NM_001111288	100126824
NM_001163456	231430
NM_026572	68133
NM_028772	74129
NM_001290411	108841
NM_175364	108755
NM_012021	54683
NM_001081181	68115
NM_001252555	14874
NM_153796	226153
NM_183275	68550
NM_026618	52469
NM_001081059	76137
NM_008254	15356
NM_028994	74551
NM_172511	213012
NM_183150	214489
NM_134188	171210
NM_009653	11656
NM_016870	20216
NM_025946	67067
NM_017404	27393
NM_145999	214952
NM_019814	56295
NM_134011	21379
NM_001199337	68316
NM_001098230	381511
NM_025384	66148
NM_001243052	12036
NM_008991	19299
NM_001080809	227231
NM_027360	70257
NM_016978	18242
NM_019545	56185
NM_027919	71776
NM_001289798	231086
NM_023697	105014
NM_177244	320720
NM_181315	56078
NM_021296	17714
NM_025450	66258
NM_001037918	623661
NM_178696	229517
NM_023595	110074
NM_053122	93757
NM_197980	68033
NM_153543	216188
NM_024166	14004
NM_023733	74114
NM_019836	56412
NM_001110242	208501
NM_146230	235674
NM_175374	108853
NM_001159559	68876
NM_013771	27377
NM_001127338	110695
NM_144815	214932
NM_181391	66433
NM_029447	75805
NM_198308	319518
NM_001127346	75597
NM_172422	75619
NM_026551	68087
NM_001082975	654795
NM_180678	353172
NM_025650	66594
NM_026140	67417
NM_019502	14356
NM_001289848	333182
NM_181040	230649
NM_025827	66887
NM_053197	94280
NM_009196	20501
NM_011994	26874
NM_021507	59010
NM_026341	67725
NM_178848	68346
NM_175324	102632
NM_008911	19044
NM_001310767	98314
NM_023232	66593
NM_134154	107375
NM_028360	72795
NM_016702	11611
NM_145448	217830
NM_027134	69606
NM_007931	13804
NM_027342	70186
NM_020582	57423
NM_010270	14548
NM_024273	76916
NM_001285779	216456
NM_009360	21780
NM_012029	26940
NM_001013389	380836
NM_023732	74104
NM_011399	20524
NM_001256112	76824
NM_024434	66988
NM_173866	108682
NM_153807	264895
NM_080289	76238
NM_013515	13830
NM_026029	67201
NM_001164729	66119
NM_025369	66128
NM_175212	74868
NM_138599	28185
NM_001308285	14198
NM_001024385	66586
NM_001285839	72085
NM_008618	17449
NM_028464	56738
NM_010294	14626
NM_027406	107747
NM_019437	54391
NM_026819	52585
NM_017462	18975
NM_001290703	20523
NM_001037744	223262
NM_001163355	59040
NM_001329528	14775
NM_026165	67453
NM_025596	66494
NM_029840	77032
NM_172402	69906
NM_001033259	215999
NM_008698	18082
NM_001025561	56361
NM_001024606	382051
NM_008866	18777
NM_133770	76889
NM_145960	211253
NM_026788	665563
NM_133984	69536
NM_025337	110198
NM_022033	64059
NM_024264	104086
NM_026851	68836
NM_001163243	66437
NM_001198933	17436
NM_001172136	208194
NM_001013814	434437
NM_138670	246221
NM_134021	103711
NM_183170	234384
NM_026126	67391
NM_026310	67681
NM_026468	67942
NM_198931	67905
NM_029280	75422
NM_144793	208638
NM_172901	243996
NM_138756	192287
NM_001167994	215201
NM_009897	12716
NM_010325	14719
NM_172532	214579
NM_172961	268860
NM_032544	70359
NM_022433	64384
NM_029909	77422
NM_001005767	381038
NM_183088	71970
NM_015740	14533
NM_001039049	75483
NM_001199296	104112
NM_178639	94282
NM_009464	22229
NM_025877	66972
NM_028711	74011
NM_178766	319653
NM_019752	64704
NM_008155	14751
NM_001085410	68646
NM_025395	66170
NM_020560	57312
NM_019443	54405
NM_026152	67432
NM_001331114	11671
NM_025571	66449
NM_025591	66488
NM_026610	68194
NM_001134646	68512
NM_009948	12895
NM_010293	14625
NM_001289567	93734
NM_172398	67861
NM_001082412	67062
NM_001159275	83885
NM_207525	403187
NM_023480	68636
NM_021534	59038
NM_022988	65102
NM_013820	15277
NM_178700	231413
NM_134147	107227
NM_025529	66387
NM_144533	74080
NM_001085500	217149
NM_009804	12359
NM_001286972	67713
NM_023479	68626
NM_138654	192136
NM_025798	66847
NM_001286384	85305
NM_001099738	246738
NM_025539	66401
NM_025558	66427
NM_010726	16922
NM_008193	14923
NM_001033765	237880
NM_033080	110959
NM_026065	67270
NM_001002004	72503
NM_001172112	216820
NM_134029	103850
NM_019731	56520
NM_026829	107885
NM_001128601	100039707
NM_025909	67013
NM_001033599	216739
NM_001033204	101122
NM_001111320	15926
NM_013764	27369
NM_080575	68738
NM_001285783	230577
NM_001146049	53415
NM_001081054	76563
NM_026995	69225
NM_025351	66098
NM_026993	69219
NM_009388	21881
NM_028281	72562
NM_028643	68514
NM_001081408	75986
NM_009731	11997
NM_011327	20280
NM_009000	19336
NM_025779	66815
NM_146106	226791
NM_029299	75469
NM_010362	14873
NM_175349	106557
NM_011921	26358
NM_027695	71147
NM_173763	229905
NM_145582	233189
NM_001277296	72113
NM_011220	19286
NM_027460	70556
NM_020577	57344
NM_001040691	22256
NM_028142	72181
NM_001253868	235043
NM_001037999	13167
NM_001305982	71743
NM_139308	99138
NM_173012	270035
NM_023279	22152
NM_133735	71799
NM_026443	67900
NM_183270	68185
NM_001271402	13850
NM_133904	100705
NM_144888	228607
NM_144801	70209
NM_026157	67440
NM_133902	257635
NM_020557	22169
NM_174846	235582
NM_028040	71989
NM_001039373	17763
NM_001145433	66278
NM_178051	69821
NM_028404	72960
NM_009705	11847
NM_175004	217057
NM_029610	73919
NM_198608	224805
NM_001302163	14081
NM_025362	66114
NM_138745	108156
NM_007527	12028
NM_001033284	226527
NM_008993	19301
NM_001276340	74006
NM_025511	66359
NM_008293	15492
NM_175106	66343
NM_021028	57813
NM_028058	72018
NM_133757	74451
NM_007988	14104
NM_007621	12409
NM_144807	212862
NM_001161419	11951
NM_025912	67017
NM_053196	94279
NM_008769	18416
NM_013551	15288
NM_007480	11844
NM_001081112	232339
NM_010236	14287
NM_029092	52575
NM_028747	74088
NM_145381	212442
NM_001033297	228715
NM_013546	15199
NM_001163538	72542
NM_007435	11666
NM_175185	72552
NM_173047	109857
NM_001303408	11758
NM_027912	71767
NM_020566	57431
NM_001177403	68554
NM_172291	235169
NM_001285899	140546
NM_001252682	72831
NM_153516	94044
NM_001293630	14385
NM_019800	66659
NM_001159529	20463
NM_001164525	226654
NM_011296	20084
NM_024236	110391
NM_033074	110960
NM_013868	29818
NM_001177977	233799
NM_178873	57869
NM_009171	20425
NM_207530	64291
NM_198020	212528
NM_001256100	76366
NM_001195244	100503890
NM_023060	65967
NM_021557	17252
NM_001253391	67472
NM_146074	224481
NM_009775	12257
NM_010239	14319
NM_145935	107146
NM_007386	11428
NM_001286865	19819
NM_199197	68731
NM_030721	80911
NM_011069	18632
NM_025708	66690
NM_011434	20655
NM_011485	20845
NM_019875	56325
NM_153116	207704
NM_177256	320769
NM_198163	77407
NM_198636	380660
NM_019933	19258
NM_001313718	56360
NM_025689	66658
NM_008084	14433
NM_001033213	104718
NM_023247	66706
NM_025902	67006
NM_177041	319945
NM_133360	107476
NM_001146100	15275
NM_028057	72017
NM_133809	98256
NM_025547	66410
NM_001130166	170719
NM_001082476	78797
NM_028794	74167
NM_026617	68212
NM_009415	21991
NM_009125	20239
NM_133705	69051
NM_177588	208967
NM_008248	15254
NM_001171512	380698
NM_025797	109672
NM_011671	22228
NM_026331	67712
NM_029054	74686
NM_001012310	104910
NM_001085497	194744
NM_145156	246696
NM_177809	328258
NM_001013780	384071
NM_172550	216119
NM_010957	18294
NM_017399	14080
NM_001013762	240549
NM_029790	76894
NM_015729	11430
NM_013631	18770
NM_025633	66559
NM_054057	114863
NM_026689	68350
NM_026880	68943
NM_001291044	229228
NM_025504	66349
NM_001291443	216001
NM_175331	103466
NM_009410	21975
NM_008537	17117
NM_007608	12352
NM_008743	18207
NM_025292	24071
NM_019722	56327
NM_027011	110308
NM_001042670	208595
NM_145524	228019
NM_001013381	237926
NM_001159889	68095
NM_023229	66587
NM_018757	54369
NM_009760	12176
NM_001199631	14232
NM_027869	71701
NM_008249	15278
NM_178668	211948
NM_025878	66973
NM_007523	12018
NM_010267	14545
NM_198831	52443
NM_020046	56749
NM_025569	66447
NM_001316734	70564
NM_172778	109731
NM_021451	58801
NM_025623	66536
NM_001039194	71361
NM_027314	69104
NM_011563	21672
NM_053198	94281
NM_026790	52668
NM_028038	71986
NM_147220	217262
NM_027090	69478
NM_026792	52123
NM_172988	269514
NM_026286	67634
NM_008149	14732
NM_025962	67096
NM_021888	60507
NM_001101598	664994
NM_170669	267019
NM_009991	13072
NM_001033229	110115
NM_001164813	100048644
NM_011287	19896
NM_019776	56463
NM_173740	17161
NM_029787	109754
NM_029409	75734
NM_001163743	270151
NM_177869	330050
NM_178719	239555
NM_027250	69893
NM_001290995	16561
NM_020600	20044
NM_001033490	433813
NM_023211	66477
NM_001033136	67809
NM_026536	68055
NM_024214	67952
NM_009761	12177
NM_175178	72168
NM_001167691	75387
NM_175523	243382
NM_025936	104458
NM_001039534	214580
NM_020569	57320
NM_001013023	545725
NM_178653	109232
NM_001004174	433470
NM_026063	67267
NM_019730	79059
NM_145147	107999
NM_029344	75572
NM_026358	67749
NM_021713	60315
NM_001159581	70603
NM_198176	380601
NM_025939	67054
NM_153679	78070
NM_033572	94254
NM_007638	12468
NM_016764	53381
NM_011032	18453
NM_009968	12972
NM_144795	209027
NM_021421	52477
NM_001289630	74528
NM_026965	69156
NM_026195	108147
NM_001310769	241159
NM_029943	77622
NM_025334	66073
NM_010009	13115
NM_025869	66959
NM_024257	72748
NM_013853	27407
NM_028307	72634
NM_001111062	12846
NM_019687	30805
NM_007771	12952
NM_145520	227682
NM_001168658	67433
NM_207625	50790
NM_001163622	213760
NM_010318	14707
NM_001080969	66628
NM_172453	208084
NM_026124	67388
NM_022816	64833
NM_028120	72140
NM_025736	66736
NM_028889	98363
NM_007544	12122
NM_009996	13081
NM_001252478	210148
NM_011479	20773
NM_011783	23795
NM_177856	329659
NM_029992	77832
NM_015807	50773
NM_023538	69923
NM_025518	66369
NM_015810	50776
NM_153501	74450
NM_025996	67145
NM_021338	57808
NM_010221	14230
NM_001289716	12048
NM_025673	66629
NM_026405	67844
NM_001205227	320635
NM_026034	67211
NM_027289	70021
NM_019921	56697
NM_001102565	211064
NM_001111017	321007
NM_011129	18952
NM_001130479	53322
NM_001330423	69577
NM_001252220	17966
NM_001167784	27060
NM_009075	19895
NM_011992	26611
NM_025373	66132
NM_010683	226519
NM_026343	67727
NM_007522	12015
NM_009741	12043
NM_007537	12050
NM_009812	12370
NM_009860	12532
NM_032418	13400
NM_008837	18693
NM_031247	83408
NM_053114	93728
NM_178925	106338
NM_172858	241656
NM_178738	244954
NM_177372	327762
NM_144827	217116
NM_026724	68436
NM_026362	67759
NM_001003955	52055
NM_029279	75420
NM_001033988	27057
NM_028546	73467
NM_030137	78617
NM_145980	213393
NM_018830	54447
NM_013885	29876
NM_023348	67474
NM_028604	73681
